system:index,aspecto_deg,depresion_rocio_verano_c,elev_m,fire_label,nbr_verano,ndvi_verano,ndwi_verano,pendiente_deg,precip_verano_mm,tmax_verano_c,viento10m_verano_max_ms,year,.geo
2210,82,8.28031040748607,1321,0,0.56599396,0.7455808,0.3191883,2,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.301681718098443,42.512770820956355]}"
2211,88,8.28031040748607,1283,0,0.28588316,0.59625435,0.025718933,3,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.292698565257249,42.512770820956355]}"
2212,83,8.28031040748607,1239,0,0.31604168,0.6029277,0.053331275,3,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.283715412416053,42.512770820956355]}"
2213,83,8.28031040748607,1204,0,0.36250448,0.6585279,0.08493586,2,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.274732259574858,42.512770820956355]}"
2214,80,8.28031040748607,1176,0,0.36250567,0.65157115,0.10028161,2,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.265749106733662,42.512770820956355]}"
2215,88,8.28031040748607,1143,0,0.3465002,0.6266416,0.08855482,2,189.35111435098761,34.7342468261719,4.439727322685409,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.256765953892468,42.512770820956355]}"
2216,103,8.696180758725575,1125,0,0.1262246,0.45750886,-0.032857534,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.247782801051272,42.512770820956355]}"
2217,92,8.696180758725575,1109,0,0.28522512,0.5521818,0.047007088,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.238799648210077,42.512770820956355]}"
2218,70,8.696180758725575,1097,0,0.2734699,0.6175284,0.013231333,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.2298164953688815,42.512770820956355]}"
2219,114,8.696180758725575,1083,0,0.20934916,0.53849244,-0.032408442,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.220833342527687,42.512770820956355]}"
2220,128,8.696180758725575,1074,0,0.47636428,0.6956938,0.21565086,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.2118501896864915,42.512770820956355]}"
2221,146,8.696180758725575,1063,0,0.43613648,0.684073,0.17555664,1,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.202867036845296,42.512770820956355]}"
2222,162,8.696180758725575,1057,0,0.3447617,0.6044622,0.10222908,2,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.193883884004101,42.512770820956355]}"
2223,168,8.696180758725575,1048,0,0.2935867,0.5973683,0.04466536,3,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.184900731162906,42.512770820956355]}"
2224,169,8.696180758725575,1041,0,0.2864126,0.60860026,0.031098234,3,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.175917578321711,42.512770820956355]}"
2225,173,8.696180758725575,1034,0,0.24958089,0.6035133,0.0010499038,3,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.166934425480515,42.512770820956355]}"
2226,195,8.696180758725575,1033,0,0.23639351,0.5698979,-0.0031648444,2,165.2795550410282,35.9217468261719,4.671705224866082,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.15795127263932,42.512770820956355]}"
2227,208,8.935608729843182,1047,0,0.25836822,0.56784403,0.032310992,2,158.71694954080695,36.5721374511719,5.059881080613262,2023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.148968119798125,42.512770820956355]}"
